PlantID,AncestorId,Symbol,ScientificName,CommonName,RankId,Rank
50159,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
50159,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
50159,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
50159,31160,Asteridae,Asteridae,,70,Subclass
50159,48770,Scrophulariales,Scrophulariales,,80,Order
50159,50063,SCROPH,Scrophulariaceae Juss.,Figwort family,100,Family
50159,50067,AGALI,Agalinis Raf.,false foxglove,140,Genus
50159,50159,AGPA12,Agalinis paupercula (A. Gray) Britton,smallflower false foxglove,180,Species
50186,7168,Plantae,Plantae,Plants,10,Kingdom
50186,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
50186,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
50186,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
50186,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
50186,31160,Asteridae,Asteridae,,70,Subclass
50186,48770,Scrophulariales,Scrophulariales,,80,Order
50186,50063,SCROPH,Scrophulariaceae Juss.,Figwort family,100,Family
50186,50067,AGALI,Agalinis Raf.,false foxglove,140,Genus
50186,50186,AGSK,Agalinis skinneriana (Alph. Wood) Britton,Skinner's false foxglove,180,Species
50175,7168,Plantae,Plantae,Plants,10,Kingdom
50175,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
50175,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
50175,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
50175,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
50175,31160,Asteridae,Asteridae,,70,Subclass
50175,48770,Scrophulariales,Scrophulariales,,80,Order
50175,50063,SCROPH,Scrophulariaceae Juss.,Figwort family,100,Family
50175,50067,AGALI,Agalinis Raf.,false foxglove,140,Genus
50175,50175,AGPU5,Agalinis purpurea (L.) Pennell,purple false foxglove,180,Species
50190,7168,Plantae,Plantae,Plants,10,Kingdom
50190,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
50190,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
50190,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
50190,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
50190,31160,Asteridae,Asteridae,,70,Subclass
50190,48770,Scrophulariales,Scrophulariales,,80,Order
50190,50063,SCROPH,Scrophulariaceae Juss.,Figwort family,100,Family
50190,50067,AGALI,Agalinis Raf.,false foxglove,140,Genus
50190,50190,AGTE3,Agalinis tenuifolia (Vahl) Raf.,slenderleaf false foxglove,180,Species
45501,7168,Plantae,Plantae,Plants,10,Kingdom
45501,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
45501,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
45501,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
45501,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
45501,31160,Asteridae,Asteridae,,70,Subclass
45501,44492,Lamiales,Lamiales,,80,Order
45501,45481,LAMIAC,Lamiaceae Martinov,Mint family,100,Family
45501,45496,AGAST,Agastache Clayton ex Gronov.,giant hyssop,140,Genus
45501,45501,AGFO,Agastache foeniculum (Pursh) Kuntze,blue giant hyssop,180,Species
45507,7168,Plantae,Plantae,Plants,10,Kingdom
45507,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
45507,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
45507,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
45507,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
45507,31160,Asteridae,Asteridae,,70,Subclass
45507,44492,Lamiales,Lamiales,,80,Order
45507,45481,LAMIAC,Lamiaceae Martinov,Mint family,100,Family
45507,45496,AGAST,Agastache Clayton ex Gronov.,giant hyssop,140,Genus
45507,45507,AGNE2,Agastache nepetoides (L.) Kuntze,yellow giant hyssop,180,Species
45530,7168,Plantae,Plantae,Plants,10,Kingdom
45530,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
45530,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
45530,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
45530,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
45530,31160,Asteridae,Asteridae,,70,Subclass
45530,44492,Lamiales,Lamiales,,80,Order
45530,45481,LAMIAC,Lamiaceae Martinov,Mint family,100,Family
45530,45496,AGAST,Agastache Clayton ex Gronov.,giant hyssop,140,Genus
45530,45530,AGSC,Agastache scrophulariifolia (Willd.) Kuntze,purple giant hyssop,180,Species
31339,7168,Plantae,Plantae,Plants,10,Kingdom
31339,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31339,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31339,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31339,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31339,31160,Asteridae,Asteridae,,70,Subclass
31339,31161,Asterales,Asterales,,80,Order
31339,31162,ASTERA,Asteraceae Bercht. & J. Presl,Aster family,100,Family
31339,31335,AGERA2,Ageratina Spach,snakeroot,140,Genus
31339,31339,AGAL5,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot,180,Species
88621,7168,Plantae,Plantae,Plants,10,Kingdom
88621,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
88621,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
88621,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
88621,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
88621,73681,Rosidae,Rosidae,,70,Subclass
88621,87579,Rosales,Rosales,,80,Order
88621,88590,ROSACE,Rosaceae Juss.,Rose family,100,Family
88621,88610,AGRIM,Agrimonia L.,agrimony,140,Genus
88621,88621,AGPU,Agrimonia pubescens Wallr.,soft agrimony,180,Species
27816,7168,Plantae,Plantae,Plants,10,Kingdom
27816,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
27816,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
27816,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
27816,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
27816,27002,Liliidae,Liliidae,,70,Subclass
27816,27003,Liliales,Liliales,,80,Order
27816,27806,LILIAC,Liliaceae Juss.,Lily family,100,Family
27816,27813,ALETR,Aletris L.,colicroot,140,Genus
27816,27816,ALFA2,Aletris farinosa L.,white colicroot,180,Species
27864,7168,Plantae,Plantae,Plants,10,Kingdom
27864,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
27864,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
27864,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
