PlantID,Region,Status,Type
28901,CAN,N,Native
28901,L48,N,Native
28901,SPM,N,Native
28913,CAN,N,Native
28913,L48,N,Native
28913,SPM,N,Native
28877,AK,N,Native
28877,CAN,N,Native
28877,L48,N,Native
37895,AK,I,Introduced
37895,CAN,N,Native
37895,L48,N,Native
90051,CAN,N,Native
90051,L48,N,Native
13732,AK,N,Native
13732,CAN,N,Native
13732,L48,N,Native
28919,CAN,N,Native
28919,L48,N,Native
51215,CAN,N,Native
51215,L48,N,Native
51215,SPM,N,Native
30249,AK,N,Native
30249,CAN,N,Native
30249,L48,N,Native
30268,CAN,N,Native
30268,L48,N,Native
30268,SPM,N,Native
23900,CAN,N,Native
23900,L48,N,Native
72430,CAN,N,Native
72430,L48,N,Native
45906,AK,I,Introduced
45906,CAN,N,Native
45906,L48,N,Native
45906,PR,N,Native
45186,AK,N,Native
45186,CAN,N,Native
45186,L48,N,Native
81323,L48,N,Native
23951,CAN,N,Native
23951,L48,N,Native
51332,CAN,N,Native
51332,L48,N,Native
51509,CAN,N,Native
51509,L48,N,Native
51337,CAN,N,Native
51337,L48,N,Native
51344,L48,N,Native
51443,CAN,N,Native
51443,L48,N,Native
51443,SPM,I,Introduced
59541,CAN,N,Native
59541,L48,N,Native
48398,CAN,N,Native
48398,L48,N,Native
48398,SPM,N,Native
57671,AK,N,Native
57671,CAN,N,Native
57671,L48,N,Native
59513,L48,N,Native
59456,CAN,N,Native
59456,L48,N,Native
92115,AK,N,Native
92115,CAN,N,Native
92115,L48,N,Native
92115,SPM,N,Native
59576,CAN,N,Native
59576,L48,N,Native
45953,CAN,N,Native
45953,L48,N,Native
92110,CAN,N,Native
92110,L48,N,Native
57759,AK,N,Native
57759,CAN,N,Native
57759,L48,N,Native
57759,SPM,N,Native
57763,CAN,N,Native
57763,L48,N,Native
45974,CAN,N,Native
45974,L48,N,Native
45949,L48,N,Native
59302,CAN,I,Introduced
59302,L48,N,Native
59302,PR,N,Native
59302,VI,N,Native
65599,AK,N,Native
65599,CAN,N,Native
65599,L48,N,Native
65599,SPM,N,Native
65613,AK,N,Native
65613,CAN,N,Native
65613,L48,N,Native
65613,SPM,N,Native
45971,CAN,N,Native
45971,L48,N,Native
65644,AK,N,Native
65644,CAN,N,Native
65644,L48,N,Native
65644,SPM,N,Native
84076,AK,N,Native
84076,CAN,N,Native
84076,L48,N,Native
24095,CAN,N,Native
24095,L48,N,Native
84077,CAN,N,Native
84077,L48,N,Native
45223,CAN,N,Native
45223,L48,N,Native
45213,CAN,N,Native
45213,L48,N,Native
45213,SPM,I,Introduced
84070,CAN,N,Native
84070,GL,N,Native
84070,L48,N,Native
84070,SPM,N,Native
84098,CAN,N,Native
84098,L48,N,Native
84098,SPM,N,Native
84088,AK,N,Native
84088,CAN,N,Native
84088,GL,N,Native
84088,L48,N,Native
84088,SPM,N,Native
84100,AK,N,Native
84100,CAN,N,Native
84100,L48,N,Native
84100,SPM,N,Native
